feasibleDijkstra,lengthDijkstra,timeDijkstra,solvingTimeDijkstra,feasibleAStar,lengthAStar,timeAStar,solvingTimeAStar,mode
1,3507.4475,864.0393676757808,2,1,3507.4475,864.0393676757808,1,0
0,-1,-1,19,0,-1,-1,34,0
1,8202.418,920.3729031887049,16,1,8202.418,920.3729031887049,4,0
1,5058.0806,495.1982220693314,8,1,5058.0806,495.1982220693314,1,0
1,3924.5771,464.99103174591073,4,1,3924.5771,464.99103174591073,1,0
1,7300.0503,698.018843307789,6,1,7300.0503,698.018843307789,2,0
1,5351.1963,715.4158699035643,10,1,5351.1963,715.4158699035643,1,0
1,5273.725,648.9596270930426,11,1,5273.725,648.9596270930426,1,0
1,7673.7085,1754.7123806084205,12,1,7673.7085,1754.7123806084205,4,0
1,6189.6206,715.5600846309661,11,1,6189.6206,715.5600846309661,3,0
1,9539.1875,1425.5978380297781,12,1,9539.1875,1425.5978380297781,5,0
0,-1,-1,18,0,-1,-1,30,0
1,9751.204,1214.2602131595618,15,1,9751.204,1214.2602131595618,8,0
1,6675.391,1055.2764374795984,5,1,6675.391,1055.2764374795984,2,0
1,6617.7734,1047.2249839782712,12,1,6617.7734,1047.2249839782712,5,0
0,-1,-1,0,0,-1,-1,0,0
1,8278.32,697.9791888351441,15,1,8278.32,697.9791888351441,5,0
1,9363.23,1089.6180408582686,17,1,9363.23,1089.6180408582686,6,0
1,12002.989,1425.1256601711007,16,1,12002.989,1425.1256601711007,7,0
1,8317.854,983.6544560451505,13,1,8317.854,983.6544560451505,3,0
1,4336.3384,744.8868372144702,4,1,4336.3384,744.8868372144702,1,0
1,5371.875,568.3015858334132,4,1,5371.875,568.3015858334132,1,0
1,8807.814,1017.5751466083528,6,1,8807.814,1017.5751466083528,5,0
1,6517.5107,790.0425372962954,15,1,6517.5107,790.0425372962954,5,0
1,13400.437,2207.609029046059,19,1,13400.437,2207.609029046059,10,0
1,4933.6055,488.9300233550754,8,1,4933.6055,488.9300233550754,1,0
1,3254.7483,349.8180541591643,1,1,3254.7483,349.8180541591643,0,0
0,-1,-1,0,0,-1,-1,0,0
1,8438.032,1232.6756465635294,9,1,8438.032,1232.6756465635294,4,0
1,6397.541,1019.266412150792,12,1,6397.541,1019.266412150792,3,0
1,7756.257,782.3231388190131,9,1,7756.257,782.3231388190131,1,0
1,4399.757,1399.8692203731541,4,1,4399.757,1399.8692203731541,0,0
1,5126.2607,511.437163553238,5,1,5126.2607,511.437163553238,2,0
1,12361.609,1047.1306890686578,17,1,12361.609,1047.1306890686578,9,0
1,5591.863,594.9877885232654,6,1,5591.863,594.9877885232654,1,0
1,7435.174,1172.2732906885137,12,1,7435.174,1172.2732906885137,6,0
1,3962.0007,622.477728630066,3,1,3962.0007,622.477728630066,0,0
1,7808.507,1377.7257707519532,9,1,7808.507,1377.7257707519532,2,0
1,6276.725,657.283600130081,6,1,6276.725,657.283600130081,3,0
1,4444.038,1125.1556070928568,8,1,4444.038,1125.1556070928568,1,0
1,14158.269,1565.2526831350326,18,1,14158.269,1565.2526831350326,16,0
1,3574.3398,509.46280458641036,4,1,3574.3398,509.46280458641036,0,0
1,3554.3042,325.73592754268657,3,1,3554.3042,325.73592754268657,1,0
1,5629.694,753.4918714571,7,1,5629.694,753.4918714571,1,0
1,9387.183,1140.2494877864303,15,1,9387.183,1140.2494877864303,6,0
1,11371.968,1358.3852842450826,17,1,11371.968,1358.3852842450826,5,0
1,7083.27,816.2337471959248,4,1,7083.27,816.2337471959248,0,0
1,6176.648,644.4595036392215,7,1,6176.648,644.4595036392215,2,0
1,6342.5703,788.0896189126972,8,1,6342.5703,788.0896189126972,1,0
1,7586.957,711.8306037210739,8,1,7586.957,711.8306037210739,3,0
1,4938.4565,1043.2045193411966,9,1,4938.4565,1043.2045193411966,2,0
1,7951.0464,1434.685513720649,7,1,7951.0464,1434.685513720649,3,0
1,7468.3057,1326.3244249763493,11,1,7468.3057,1326.3244249763493,4,0
1,9347.734,1751.0025170270376,11,1,9347.734,1751.0025170270376,7,0
1,9463.875,1168.129925101824,10,1,9463.875,1168.129925101824,5,0
1,6066.1875,535.6251643044608,10,1,6066.1875,535.6251643044608,1,0
1,3969.3665,447.34920000212543,4,1,3969.3665,447.34920000212543,0,0
1,3333.514,500.97669829354976,2,1,3333.514,500.97669829354976,0,0
1,7713.7603,947.6980148703714,16,1,7713.7603,947.6980148703714,5,0
